family,model_ref,step,phenomenon,selectivity_index,mean_overlap_with_others,gini,entropy,max_t,mean_topk_t,layer_com,n_active_layers,n_units
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step0,0,Gram,0.577090322971344,0.0018214936247723133,0.41838462522529984,0.968280459182179,4.203579902648926,2.7449851036071777,0.4767188387134279,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step1,1,Gram,0.577090322971344,0.0018214936247723133,0.41838462522529984,0.968280459182179,4.203579902648926,2.7449851036071777,0.4767188387134279,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step4,4,Gram,0.5569355487823486,0.0036429872495446266,0.41740153238302924,0.9684279372731052,4.16506290435791,2.7407875061035156,0.4434765560122068,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step16,16,Gram,0.5479319095611572,0.0036630036630036634,0.41658816464491477,0.9685540461843729,4.205150127410889,2.7309699058532715,0.5107468265329035,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step256,256,Gram,0.5555005669593811,0.0018214936247723133,0.4232626620463134,0.9674973065605312,4.244030952453613,2.7488133907318115,0.49620816387385314,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step5000,5000,Gram,0.5883678197860718,0.007346355503225352,0.41198609086892257,0.9691232805444079,4.868597030639648,3.204754590988159,0.601502983094518,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step14000,14000,Gram,0.5364999771118164,0.00914750095077964,0.4172928424068974,0.9683899184480047,4.219585418701172,2.9803197383880615,0.594759737094469,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step28000,28000,Gram,0.5326711535453796,0.0018214936247723133,0.4205465118247671,0.9679527937398651,4.514581680297852,2.9173636436462402,0.5252606076098733,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step51000,51000,Gram,0.5412728786468506,0.014795484252394226,0.4160542980948787,0.9685161461316335,4.202301979064941,3.0485215187072754,0.6275317608785548,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step86000,86000,Gram,0.5233061909675598,0.011049723756906077,0.419315477423537,0.9680781374314082,4.8985466957092285,3.063236951828003,0.6985025553585289,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step143000,143000,Gram,0.5149471163749695,0.013057448680952087,0.42326438052223636,0.9675733996772535,4.650362491607666,3.265057325363159,0.8529534200835562,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step0,0,Phon,0.5049542188644409,0.007326007326007327,0.41236560990533633,0.9692607642037,3.7802789211273193,2.7590408325195312,0.523069028492654,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step1,1,Phon,0.5049542188644409,0.007326007326007327,0.41236560990533633,0.9692607642037,3.7802789211273193,2.7590408325195312,0.523069028492654,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step4,4,Phon,0.5026488900184631,0.012891904695183384,0.4130976371293332,0.9691502244508097,3.950291156768799,2.7702114582061768,0.5427595063389877,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step16,16,Phon,0.5803775191307068,0.0036630036630036634,0.42132261158098416,0.9678531221964497,3.622074842453003,2.8093535900115967,0.5377884404214327,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step256,256,Phon,0.5993753671646118,0.0018214936247723133,0.4141988049251608,0.9687746487866943,4.714457035064697,2.8566079139709473,0.5541530682890186,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step5000,5000,Phon,0.5522767305374146,0.0018214936247723133,0.41185484190303395,0.9691734973276175,3.8850815296173096,2.8861372470855713,0.452362084975176,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step14000,14000,Phon,0.5615056753158569,0.0036630036630036634,0.42145971497873647,0.9678468088281234,4.678383827209473,3.2126457691192627,0.5071538183855308,12,92
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step28000,28000,Phon,0.5006785988807678,0.0,0.40989626420406317,0.9696426579696825,4.00013542175293,2.850806951522827,0.47404838696281826,12,92
