family,model_ref,dataset,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,ds003604,598,,Gram,ses-5,60,-0.0147495587844043,-0.0365668990372108,-0.010256361122023,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,ds003604,897,,Gram,ses-5,60,-0.0109618631719348,-0.0285029694092831,-0.0076860430579375,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,ds003604,1196,,Gram,ses-5,60,-0.0188832251815764,-0.036552514576358,-0.013218869864873,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,ds003604,1495,,Gram,ses-5,60,-0.0161277570385464,-0.0311967961804251,-0.0107098715160341,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,ds003604,1794,,Gram,ses-5,60,-0.016414020304073,-0.0376336146878195,-0.011427823182046,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,ds003604,2093,,Gram,ses-5,60,-0.018512156074689,-0.0361302416293766,-0.0125635154081753,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,ds003604,2392,,Gram,ses-5,60,-0.0147307123205392,-0.0370921135043203,-0.0103470632008252,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,ds003604,2691,,Gram,ses-5,60,-0.0166141122306274,-0.0371799073592776,-0.0114061057828962,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,ds003604,2990,,Gram,ses-5,60,-0.0162992232877545,-0.0367615473713152,-0.0114048282888286,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,ds003604,598,,Gram,ses-7,60,-0.0313812309680727,-0.0325998392648713,-0.0214957539290926,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,ds003604,897,,Gram,ses-7,60,-0.0321152216406312,-0.0236308340393982,-0.0212147052342125,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,ds003604,1196,,Gram,ses-7,60,-0.0298434101547826,-0.0330152307428819,-0.0203268468572049,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,ds003604,1495,,Gram,ses-7,60,-0.0275358858209416,-0.0286964315722518,-0.0182521964913625,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,ds003604,1794,,Gram,ses-7,60,-0.0334433076472448,-0.0348640021776678,-0.0221562183620609,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,ds003604,2093,,Gram,ses-7,60,-0.0308610456267664,-0.033338738859637,-0.0206168380105584,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,ds003604,2392,,Gram,ses-7,60,-0.0270784614332484,-0.0345675603222025,-0.0181372220252752,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,ds003604,2691,,Gram,ses-7,60,-0.0286299480427617,-0.035061981354004,-0.019203929571752,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,ds003604,2990,,Gram,ses-7,60,-0.0273472545526293,-0.0351628161241829,-0.0183697259455851,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,ds003604,598,,Gram,ses-9,60,-0.0436303569616879,-0.0400492550099302,-0.0296947108551864,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,ds003604,897,,Gram,ses-9,60,-0.052031315924043,-0.0289534712544574,-0.0346641627782941,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,ds003604,1196,,Gram,ses-9,60,-0.0593074575900056,-0.0384079832836194,-0.0398622861395087,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,ds003604,1495,,Gram,ses-9,60,-0.0562066830168955,-0.0331625888971367,-0.0372076534669592,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,ds003604,1794,,Gram,ses-9,60,-0.0606786898587094,-0.0390699932107555,-0.0402838591818289,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,ds003604,2093,,Gram,ses-9,60,-0.0521547344023019,-0.0369907632126701,-0.0349426564850389,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,ds003604,2392,,Gram,ses-9,60,-0.0529970127142921,-0.0370949598983236,-0.0355571311315723,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,ds003604,2691,,Gram,ses-9,60,-0.0504117686720883,-0.0373349365237873,-0.0337954668123009,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,ds003604,2990,,Gram,ses-9,60,-0.051075852791805,-0.0373275113418582,-0.0342694171113942,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,ds003604,598,,Phon,ses-5,72,-0.012738744717067,0.0071993611692651,-0.0083392286749415,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,ds003604,897,,Phon,ses-5,72,-0.0444840810793368,-0.0276938587983722,-0.0297970471229201,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,ds003604,1196,,Phon,ses-5,72,-0.0185325373002574,-0.0193720096166703,-0.0123841986469808,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,ds003604,1495,,Phon,ses-5,72,-0.0392441792687217,-0.0165195092566029,-0.0262377920490982,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,ds003604,1794,,Phon,ses-5,72,-0.054733673630384,-0.0274116025552521,-0.0365596930134842,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,ds003604,2093,,Phon,ses-5,72,-0.0413801509805103,-0.0224687933357439,-0.0273482600320339,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,ds003604,2392,,Phon,ses-5,72,-0.0395178502670196,-0.0273320905391458,-0.0265403685430696,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,ds003604,2691,,Phon,ses-5,72,-0.0392391036619245,-0.0250260587154011,-0.0262874047940611,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-09,ds003604,2990,,Phon,ses-5,72,-0.0392659397740915,-0.0239154056212202,-0.0262665796912372,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-01,ds003604,598,,Phon,ses-7,72,-0.019369254997253,0.008723326421129,-0.0128411259030591,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-02,ds003604,897,,Phon,ses-7,72,-0.0870519980681649,-0.0284592420833685,-0.0583347880280158,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-03,ds003604,1196,,Phon,ses-7,72,-0.0522209809394508,-0.0166253587919324,-0.034504132864156,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-04,ds003604,1495,,Phon,ses-7,72,-0.054852879606136,-0.0146167251068892,-0.0366295183582468,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-05,ds003604,1794,,Phon,ses-7,72,-0.0635005494256327,-0.0256433015155929,-0.04214204557635,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-06,ds003604,2093,,Phon,ses-7,72,-0.0473866160158045,-0.0207098543061976,-0.0312976795322926,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-07,ds003604,2392,,Phon,ses-7,72,-0.0628519151905412,-0.0260280549027821,-0.0418725442456872,,
babylm-gpt2,BrainAlign/gpt2-babylm-9@checkpoint-08,ds003604,2691,,Phon,ses-7,72,-0.0576425690646235,-0.0236438468458622,-0.0383867895347733,,
