family,task,session,n_checkpoints,rsa_mean,rsa_sd,rsa_min,rsa_max,ceiling,seed_null_sd,frac_of_ceiling_max,mean_in_seed_sd
babylm-gpt2,Phon,ses-9,18,0.042519028310654766,0.004295306964705357,0.0368680277142271,0.0498490839973347,0.2022769001130915,0.008728626502912,0.24643982565218497,4.871216370235315
babylm-gpt2,Sem,ses-9,18,0.017673417371023844,0.006364531831763858,0.0066287654729788,0.0244058177808078,0.2762550118928336,0.0084082983710845,0.08834524888285264,2.1019017869063004
babylm-gpt2-3,Phon,ses-9,18,0.04755915118018059,0.007960714673005369,0.0307248734270782,0.0611810241016453,0.2022769001130915,0.008728626502912,0.3024617446057333,5.4486408788729985
babylm-gpt2-3,Sem,ses-9,18,0.01741868390267899,0.008625843759705192,0.0008542678129805,0.0277753380060032,0.2762550118928336,0.0084082983710845,0.10054238587634373,2.071606302956675
babylm-gpt2-5,Phon,ses-9,18,0.0437831308606976,0.005948317213964935,0.0375983124219596,0.0574510829788988,0.2022769001130915,0.008728626502912,0.28402196665451335,5.016038989191586
babylm-gpt2-5,Sem,ses-9,18,0.01494493062640511,0.0065172327700772715,0.002287776406377,0.0211040892082844,0.2762550118928336,0.0084082983710845,0.0763935070849365,1.7774025096206854
babylm-gpt2-7,Phon,ses-9,18,0.049279323090405475,0.0058221226926470915,0.0381263687774401,0.054770131929846,0.2022769001130915,0.008728626502912,0.27076810006097796,5.64571334034801
babylm-gpt2-7,Sem,ses-9,18,0.017751813047178246,0.008074306550214131,0.0053867839642775,0.0242762823739213,0.2762550118928336,0.0084082983710845,0.0878763509396119,2.1112253946916755
beetle-fineweb3-eng,Phon,ses-9,38,0.00044946706677083165,0.019212513189645467,-0.0195521074335879,0.0555723585644642,0.2022769001130915,0.008728626502912,0.27473408250469583,0.05149344706419535
beetle-fineweb3-eng,Sem,ses-9,38,-0.002007609129116984,0.011248081834917881,-0.0235148335614715,0.0307586931596669,0.2762550118928336,0.0084082983710845,0.11134166561871822,-0.23876521033328213
beetle-humanscale-eng,Phon,ses-9,36,0.0038329425052606,0.023131305058449535,-0.0371469800824156,0.0478872184858933,0.2022769001130915,0.008728626502912,0.23674091534485608,0.4391232118801135
beetle-humanscale-eng,Sem,ses-9,36,0.022309058598864933,0.01607643734566073,-0.0178171720943052,0.0428585287141028,0.2762550118928336,0.0084082983710845,0.15514118068101773,2.6532191906490965
pythia-1.4b-full,Phon,ses-9,42,0.03822873185281993,0.031085872412644506,-0.0162961521298731,0.1059955154822809,0.2022769001130915,0.008728626502912,0.5240119629231988,4.379696145787227
pythia-1.4b-full,Sem,ses-9,42,0.0028674605405658903,0.015838331624895306,-0.0186718653298008,0.0400349017493708,0.2762550118928336,0.0084082983710845,0.14492009203764733,0.34102744860088097
pythia-160m-full,Phon,ses-9,42,0.01977904334838691,0.039613753840053466,-0.0346324717018621,0.0759069227581956,0.2022769001130915,0.008728626502912,0.3752624383493944,2.265997215230635
pythia-160m-full,Sem,ses-9,42,0.006837531340483034,0.008418608710754671,-0.0089511383593273,0.0254712568505645,0.2762550118928336,0.0084082983710845,0.09220197192456893,0.8131884762791941
pythia-1b-full,Phon,ses-9,42,0.045007661976296444,0.021443722514353027,-0.0162217720791966,0.0821042071902182,0.2022769001130915,0.008728626502912,0.40590006641546494,5.156328084525236
pythia-1b-full,Sem,ses-9,42,0.006759454639961753,0.01274939767060647,-0.0165559703987995,0.0247032915999954,0.2762550118928336,0.0084082983710845,0.089422057651495,0.8039028043066364
pythia-410m-full,Phon,ses-9,42,0.03301878926942055,0.018323608076716496,-0.0008340755046275,0.0715412957511335,0.2022769001130915,0.008728626502912,0.3536800084989205,3.782816146206392
pythia-410m-full,Sem,ses-9,42,0.007653921732380485,0.006059836429620753,-0.0042341476513132,0.018189301815935,0.2762550118928336,0.0084082983710845,0.06584243193021634,0.9102818899364634
pythia-70m-full,Phon,ses-9,42,0.023788332740267773,0.028579664152996894,-0.0196037803445387,0.0750273548883455,0.2022769001130915,0.008728626502912,0.3709141026305934,2.7253237072673038
pythia-70m-full,Sem,ses-9,42,0.008999842393311553,0.014059673291193616,-0.0166035983177715,0.0349603570712018,0.2762550118928336,0.0084082983710845,0.1265510327999545,1.0703524061730882
