family,n_cells,trend_rho_mean,trend_rho_sd,t,p,null_trend_lo,null_trend_hi,outside_null_range,direction_if_outside
pythia-1b-full,2,0.6177330627846422,0.0955363548190288,9.144230769230772,0.06934426778125577,-0.16339869281045752,0.23631535947712423,True,increasing
pico-decoder-large,2,0.5941558441558441,0.0817305240592243,10.280898876404494,0.06172839653824626,-0.16339869281045752,0.23631535947712423,True,increasing
pico-decoder-tiny,2,0.5753246753246753,0.18182745801939795,4.474747474747474,0.13996957128383614,-0.16339869281045752,0.23631535947712423,True,increasing
pico-decoder-medium,2,0.5123376623376623,0.36457323653384344,1.9874055415617122,0.29677892748388457,-0.16339869281045752,0.23631535947712423,True,increasing
pico-decoder-small,2,0.32597402597402597,0.36365491603879585,1.2676767676767675,0.4251994739699927,-0.16339869281045752,0.23631535947712423,True,increasing
pythia-1.4b-full,2,0.25267945470370745,0.5438223274313948,0.6570945945945945,0.6299033385794341,-0.16339869281045752,0.23631535947712423,True,increasing
pythia-160m-full,2,0.24293603100047972,0.8368617234628392,0.4105378704720088,0.7519999228545732,-0.16339869281045752,0.23631535947712423,True,increasing
pythia-70m-full,2,0.2429360310004797,0.4289949778892929,0.8008565310492505,0.5701142232372318,-0.16339869281045752,0.23631535947712423,True,increasing
babylm-gpt2,2,0.23333333333333334,0.02357022603955158,14.000000000000004,0.04539574199972083,-0.16339869281045752,0.23631535947712423,False,
pythia-410m-full,2,0.08184475910711342,0.9177001775404788,0.12612612612612603,0.920127365080704,-0.16339869281045752,0.23631535947712423,False,
babylm-gpt2-5,2,0.04166666666666666,0.2710575994548432,0.21739130434782605,0.8637247363567511,-0.16339869281045752,0.23631535947712423,False,
babylm-gpt2-3,2,0.04166666666666663,0.5303300858899106,0.11111111111111101,0.9295534250454456,-0.16339869281045752,0.23631535947712423,False,
babylm-gpt2-7,2,-0.024999999999999994,0.6246109900481169,-0.05660377358490565,0.9640033300433097,-0.16339869281045752,0.23631535947712423,False,
beetle-fineweb3-eng,2,-0.19068570749079528,0.6151465680814507,-0.43838383838383843,0.7369792388756639,-0.16339869281045752,0.23631535947712423,True,DECREASING
beetle-humanscale-eng,2,-0.3353168335672399,0.3671779767696858,-1.2914979757085019,0.4194491978321214,-0.16339869281045752,0.23631535947712423,True,DECREASING
