dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,n_stim_ceil,ceiling_lower,ceiling_upper,ceiling_n,n_subjects,frac_of_ceiling,params,cell
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Phon,ses-11,96,0.0032826153299438,-0.0037319487516568,0.0020995678492128,96,0.23471144623324758,0.4118192032127418,10,10,0.013985748810399549,95592496,ds002236/Phon/ses-11
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Phon,ses-11,96,0.0046003444820231,0.0007085966418995,0.0030552637351219,96,0.23471144623324758,0.4118192032127418,10,10,0.01960000057880197,95592496,ds002236/Phon/ses-11
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Phon,ses-11,96,0.0116390794109283,0.0077174336555152,0.007798724712637,96,0.23471144623324758,0.4118192032127418,10,10,0.0495888871110351,95592496,ds002236/Phon/ses-11
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Phon,ses-11+,96,0.0100217450268431,0.0121314823120576,0.0069398105925045,96,0.3027469867681776,0.4039104611117662,20,20,0.03310270775549304,95592496,ds002236/Phon/ses-11+
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Phon,ses-11+,96,-0.0172194587888624,-0.0095544820199324,-0.011444299496273,96,0.3027469867681776,0.4039104611117662,20,20,-0.05687739115979329,95592496,ds002236/Phon/ses-11+
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Phon,ses-11+,96,0.031956941602431,0.0094696528730996,0.0211446031177966,96,0.3027469867681776,0.4039104611117662,20,20,0.10555659675946298,95592496,ds002236/Phon/ses-11+
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Phon,ses-9,96,-0.0058860344221163,0.0016036106294,-0.0039518900343642,96,0.2555744517777938,0.4415161758890461,9,9,-0.023030605685242136,95592496,ds002236/Phon/ses-9
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step1000,1000,2097152000,Phon,ses-9,96,-0.0091623301200072,-0.0055967099699069,-0.0060508806563458,96,0.2555744517777938,0.4415161758890461,9,9,-0.03584994531446077,95592496,ds002236/Phon/ses-9
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step143000,143000,299892736000,Phon,ses-9,96,0.0228195518498897,0.0142775709664194,0.0151223914139373,96,0.2555744517777938,0.4415161758890461,9,9,0.08928729648505669,95592496,ds002236/Phon/ses-9
ds002236,pythia-70m-full,EleutherAI/pythia-70m@step0,0,0,Sem,ses-11,48,0.0103230993892662,-0.0124061484787738,0.0068656509782451,48,0.3901861494567716,0.5424473076996204,8,8,0.026456857588713273,95592496,ds002236/Sem/ses-11
