dataset,task,session,family,params,n_checkpoints,rsa_mean,rsa_sd,rsa_max,frac_of_ceiling_mean,ceiling_lower
ds002236,Phon,ses-11,pythia-70m-full,95592496,3,0.006507346407631734,0.0044927847981404935,0.0116390794109283,0.02772487883341221,0.23471144623324758
ds002236,Phon,ses-11+,pythia-70m-full,95592496,3,0.0082530759468039,0.024635862712663735,0.031956941602431,0.027260637785054245,0.3027469867681776
ds002236,Phon,ses-9,pythia-70m-full,95592496,3,0.0025903957692554,0.017595385621690773,0.0228195518498897,0.010135581828451262,0.2555744517777938
ds002236,Sem,ses-11,pythia-70m-full,95592496,3,0.0019113323649487997,0.017993115486678885,0.0141579209030146,0.004898514126167243,0.3901861494567716
ds002236,Sem,ses-11+,pythia-70m-full,95592496,3,-0.014178993219084201,0.02043368881993561,0.0072607854710413,-0.03249575201030536,0.4363337464720812
ds002236,Sem,ses-9,pythia-70m-full,95592496,3,-0.010636043209769302,0.01596715929905041,0.0059225359365483,-0.030879930193447886,0.3444322297084097
ds003604,Gram,ses-5,pythia-70m-full,95592496,3,0.024721798661586167,0.005995911712719602,0.0306251153389684,0.029437196531803652,0.839814981527775
ds003604,Gram,ses-7,pythia-70m-full,95592496,3,0.01943531541425003,0.0063182774222282035,0.0260534920921593,0.02293639109338493,0.8473571685763311
ds003604,Gram,ses-9,pythia-70m-full,95592496,3,-0.005279003306774566,0.005041102998939074,-0.0015080514505433,-0.006164933959447582,0.856295191724584
ds003604,Phon,ses-5,pythia-70m-full,95592496,3,-0.025023485999688105,0.012981177084514418,-0.0114943508040023,-0.029242542860722556,0.8557219568377097
ds003604,Phon,ses-7,pythia-70m-full,95592496,3,-0.020323692805214,0.009835256988713889,-0.0101135593901382,-0.024022535516807803,0.8460261320456435
ds003604,Phon,ses-9,pythia-70m-full,95592496,3,-0.024669387150230034,0.013855570559885521,-0.0110146797320676,-0.028243707869496263,0.8734471856251366
ds003604,Plaus,ses-5,pythia-70m-full,95592496,3,-0.0031904317901635666,0.014651550690331824,0.0135290030096725,-0.003808227513699703,0.8377734204919007
ds003604,Plaus,ses-7,pythia-70m-full,95592496,3,-0.0032685529688903335,0.013297877886387385,0.0115028144642401,-0.0038632754585317384,0.8460574463236867
ds003604,Plaus,ses-9,pythia-70m-full,95592496,3,0.004349680833778334,0.011088043335762984,0.0171257713269424,0.0050748651035045795,0.8571027495439336
ds003604,Sem,ses-5,pythia-70m-full,95592496,3,-0.0026456951955017333,0.007907416847618838,0.0040263150989374,-0.003079269746169089,0.859195657929363
ds003604,Sem,ses-7,pythia-70m-full,95592496,3,-0.008209917956297767,0.007786501409188605,-0.0024757348285554,-0.009606557015710417,0.8546160651387789
ds003604,Sem,ses-9,pythia-70m-full,95592496,3,-0.006106367703964433,0.0025238329794545415,-0.0044421871659936,-0.006928862138404081,0.8812944437325619
ds006239,Orth,ses-11,pythia-70m-full,95592496,3,-0.0090072211097102,0.021180500282702193,0.0115704504975178,-0.01723788665945525,0.5225246741467346
ds006239,Orth,ses-11+,pythia-70m-full,95592496,3,0.003682557951287467,0.0214454541068664,0.0227828882390808,0.006550322079591526,0.5621949434762923
ds006239,Phon,ses-11,pythia-70m-full,95592496,3,-0.0090072211097102,0.021180500282702193,0.0115704504975178,-0.01723788665945525,0.5225246741467346
ds006239,Phon,ses-11+,pythia-70m-full,95592496,3,0.003682557951287467,0.0214454541068664,0.0227828882390808,0.006550322079591526,0.5621949434762923
ds006239,Sem,ses-11,pythia-70m-full,95592496,3,-0.024197328558732734,0.007241960352606953,-0.0173350052283367,-0.08362839825744113,0.2893434414975141
ds006239,Sem,ses-11+,pythia-70m-full,95592496,3,-0.024705187819161162,0.006100638547759535,-0.0195008524881968,-0.06927332894375199,0.3566334720137542
ds006239,SemLocal,ses-11,pythia-70m-full,95592496,3,0.03454894148664573,0.01649554617074826,0.0531546929341043,0.14984223116095394,0.2305687870433188
ds006239,SemLocal,ses-11+,pythia-70m-full,95592496,3,0.023281447834273366,0.004497940107157995,0.0284719486225887,0.07618999384372037,0.30557093733368557
